0.051793 0.00022042 3.7478e-06
0.054383 0.00018415 3.0542e-06
0.057102 0.00015166 2.495e-06
0.059957 0.00012504 2.057e-06
0.062955 9.9725e-05 1.6972e-06
0.066103 8.3168e-05 1.4178e-06
0.069408 6.7024e-05 1.2091e-06
0.072878 5.8025e-05 1.0599e-06
0.076522 4.6213e-05 8.895e-07
0.080348 3.7524e-05 7.7344e-07
0.084365 2.9164e-05 6.4713e-07
0.088584 2.5393e-05 5.6766e-07
0.093013 2.0862e-05 4.8982e-07
0.097664 1.6953e-05 4.2306e-07
0.10255 1.3821e-05 3.6702e-07
0.10767 1.1137e-05 3.1838e-07
0.11306 9.3587e-06 2.854e-07
0.11871 7.7602e-06 2.5721e-07
0.12465 6.8645e-06 2.3293e-07
0.13088 5.9237e-06 2.1492e-07
0.13742 4.4761e-06 1.9349e-07
0.14429 3.6369e-06 2.653e-07
0.15151 3.2802e-06 3.965e-07
0.15908 2.938e-06 6.828e-07
0.16704 2.1975e-06 5.256e-07
0.17539 2.2731e-06 6.293e-07
0.18416 1.6788e-06 1.018e-07
0.19337 1.2517e-06 2.64e-07
0.20304 1.2592e-06 3.631e-07
0.21319 1.4705e-06 6.1751e-07
0.22385 9.2879e-07 2.4871e-07
0.23504 1.1264e-06 2.3499e-07
0.24679 9.7351e-07 2.4518e-07
0.25913 9.4712e-07 1.6429e-07
0.27209 9.4128e-07 4.1481e-07
0.28569 7.7687e-07 3.5735e-07
0.29998 8.115e-07 2.0772e-07
0.31497 8.0228e-07 1.6916e-07
0.33072 6.2428e-07 2.2151e-07
0.34726 6.6445e-07 3.2246e-07
0.36462 6.4626e-07 2.3675e-07
0.38285 5.2941e-07 3.7039e-07
0.402 7.6483e-07 4.4157e-07
0.4221 5.2479e-07 3.4927e-07
0.4432 5.9885e-07 3.5155e-07
0.46536 4.9433e-07 2.3558e-07
0.48863 6.2316e-07 1.7267e-07
0.51306 3.5324e-07 5.4127e-07
0.53871 5.3612e-07 2.9179e-07
0.56565 5.6373e-07 8.624e-08
0.58877 6.5552e-07 2.3214e-07
